_source_system,_source_table,_extracted_at_utc,_snapshot_date,_snapshot_id,extraction_timestamp,incident_id,incident_type,geometry_type,lat,lon,icon_category,icon_category_desc,magnitude_of_delay,delay_seconds,length_meters,from,to,road_numbers,time_validity,probability,number_of_reports,start_time,end_time,last_report_time,event_descriptions,event_codes,raw_geometry,raw_properties
tomtom,tomtom_cdmx_incidents,2026-08-15T03:08:33Z,2026-08-15,20260815T030829Z,2026-08-15T03:08:29.384402,TTI-2b48e4ea-67d4-4314-a748-f2915001794c-TTR24456128336023000,Feature,LineString,19.3567340371,-99.3018083925,8,Road closed,4,,150.8198741809,Avenida Juárez,Avenida Ocampo,,present,probable,,2026-06-02T14:15:30Z,,,Cerrado,401,"{""type"": ""LineString"", ""coordinates"": [[-99.3014664108, 19.3575964132], [-99.3016957397, 19.3571537985], [-99.3017735237, 19.3569446297], [-99.3018083925, 19.3567340371], [-99.301840579, 19.3564711716], [-99.3018754477, 19.3563102414]]}","{""id"": ""TTI-2b48e4ea-67d4-4314-a748-f2915001794c-TTR24456128336023000"", ""iconCategory"": 8, ""magnitudeOfDelay"": 4, ""startTime"": ""2026-06-02T14:15:30Z"", ""endTime"": null, ""from"": ""Avenida Juárez"", ""to"": ""Avenida Ocampo"", ""length"": 150.8198741809, ""delay"": null, ""roadNumbers"": [], ""timeValidity"": ""present"", ""probabilityOfOccurrence"": ""probable"", ""numberOfReports"": null, ""lastReportTime"": null, ""events"": [{""code"": 401, ""description"": ""Cerrado"", ""iconCategory"": 8}]}"
tomtom,tomtom_cdmx_incidents,2026-08-15T03:08:33Z,2026-08-15,20260815T030829Z,2026-08-15T03:08:29.384422,TTI-2b48e4ea-67d4-4314-a748-f2915001794c-TTR24456128120023000,Feature,LineString,19.3569446297,-99.3017735237,8,Road closed,4,,150.8198741809,Avenida Ocampo,Avenida Juárez,,present,probable,,2026-06-02T17:31:00Z,,,Cerrado,401,"{""type"": ""LineString"", ""coordinates"": [[-99.3018754477, 19.3563102414], [-99.301840579, 19.3564711716], [-99.3018083925, 19.3567340371], [-99.3017735237, 19.3569446297], [-99.3016957397, 19.3571537985], [-99.3014664108, 19.3575964132]]}","{""id"": ""TTI-2b48e4ea-67d4-4314-a748-f2915001794c-TTR24456128120023000"", ""iconCategory"": 8, ""magnitudeOfDelay"": 4, ""startTime"": ""2026-06-02T17:31:00Z"", ""endTime"": null, ""from"": ""Avenida Ocampo"", ""to"": ""Avenida Juárez"", ""length"": 150.8198741809, ""delay"": null, ""roadNumbers"": [], ""timeValidity"": ""present"", ""probabilityOfOccurrence"": ""probable"", ""numberOfReports"": null, ""lastReportTime"": null, ""events"": [{""code"": 401, ""description"": ""Cerrado"", ""iconCategory"": 8}]}"
tomtom,tomtom_cdmx_incidents,2026-08-15T03:08:33Z,2026-08-15,20260815T030829Z,2026-08-15T03:08:29.384442,TTI-2b48e4ea-67d4-4314-a748-f2915001794c-TTR24447472920030000,Feature,LineString,19.418804363,-99.3003130609,8,Road closed,4,,340.2183294187,Huixquilucan,Carretera La Venta-Lechería,,present,probable,,2026-07-21T10:15:19Z,,,Cerrado,401,"{""type"": ""LineString"", ""coordinates"": [[-99.3000515456, 19.4208656804], [-99.3000636155, 19.4207597536], [-99.300082391, 19.420649716], [-99.3001051897, 19.420543789], [-99.3001534695, 19.4202876668], [-99.3002138192, 19.4198719415], [-99.3002580757, 19.4195017483], [-99.3002647812, 19.4194507607], [-99.3003224487, 19.4191410403], [-99.3003170843, 19.4189304491], [-99.3003130609, 19.418804363], [-99.30027551, 19.4186514786], [-99.3002540523, 19.4185374871], [-99.3002433235, 19.4184771712], [-99.3002191836, 19.4182585949], [-99.3001923615, 19.4181432593], [-99.3001735861, 19.4180801764], [-99.3001387174, 19.4179983584], [-99.3001145775, 19.4179554336], [-99.3000434989, 19.4178750384]]}","{""id"": ""TTI-2b48e4ea-67d4-4314-a748-f2915001794c-TTR24447472920030000"", ""iconCategory"": 8, ""magnitudeOfDelay"": 4, ""startTime"": ""2026-07-21T10:15:19Z"", ""endTime"": null, ""from"": ""Huixquilucan"", ""to"": ""Carretera La Venta-Lechería"", ""length"": 340.2183294187, ""delay"": null, ""roadNumbers"": [], ""timeValidity"": ""present"", ""probabilityOfOccurrence"": ""probable"", ""numberOfReports"": null, ""lastReportTime"": null, ""events"": [{""code"": 401, ""description"": ""Cerrado"", ""iconCategory"": 8}]}"
tomtom,tomtom_cdmx_incidents,2026-08-15T03:08:33Z,2026-08-15,20260815T030829Z,2026-08-15T03:08:29.384473,TTI-2b48e4ea-67d4-4314-a748-f2915001794c-TTR24459013740005001,Feature,LineString,19.3575011211,-99.2999764437,1,Accident,0,,36.6515406516,Avenida Juárez,Calle Guillermo Prieto,,present,certain,,2026-08-14T23:04:00Z,2026-08-15T04:00:00Z,,Incidente,214,"{""type"": ""LineString"", ""coordinates"": [[-99.3001507873, 19.3572154815], [-99.2999764437, 19.3575011211]]}","{""id"": ""TTI-2b48e4ea-67d4-4314-a748-f2915001794c-TTR24459013740005001"", ""iconCategory"": 1, ""magnitudeOfDelay"": 0, ""startTime"": ""2026-08-14T23:04:00Z"", ""endTime"": ""2026-08-15T04:00:00Z"", ""from"": ""Avenida Juárez"", ""to"": ""Calle Guillermo Prieto"", ""length"": 36.6515406516, ""delay"": null, ""roadNumbers"": [], ""timeValidity"": ""present"", ""probabilityOfOccurrence"": ""certain"", ""numberOfReports"": null, ""lastReportTime"": null, ""events"": [{""code"": 214, ""description"": ""Incidente"", ""iconCategory"": 1}]}"
tomtom,tomtom_cdmx_incidents,2026-08-15T03:08:33Z,2026-08-15,20260815T030829Z,2026-08-15T03:08:29.384489,TTI-2b48e4ea-67d4-4314-a748-f2915001794c-TTR24450358260011000,Feature,LineString,19.4141923119,-99.2992388362,9,Road works,0,,135.4631949142,Avenida Country Club (Carretera México-Huixquilucan/Camino Nuevo a Huixquilucan),Avenida Coatepec (Carretera México-Huixquilucan),,present,probable,,2026-08-12T02:16:00Z,,,Obras,701,"{""type"": ""LineString"", ""coordinates"": [[-99.2988740558, 19.4146939031], [-99.2990041429, 19.4145584855], [-99.2990779037, 19.4144632266], [-99.299095338, 19.4144337399], [-99.2991744632, 19.4142968991], [-99.2992388362, 19.4141923119], [-99.2992830927, 19.4140622694], [-99.299312597, 19.4140153118], [-99.2993850166, 19.4138476399], [-99.2994721884, 19.4136277136]]}","{""id"": ""TTI-2b48e4ea-67d4-4314-a748-f2915001794c-TTR24450358260011000"", ""iconCategory"": 9, ""magnitudeOfDelay"": 0, ""startTime"": ""2026-08-12T02:16:00Z"", ""endTime"": null, ""from"": ""Avenida Country Club (Carretera México-Huixquilucan/Camino Nuevo a Huixquilucan)"", ""to"": ""Avenida Coatepec (Carretera México-Huixquilucan)"", ""length"": 135.4631949142, ""delay"": null, ""roadNumbers"": [], ""timeValidity"": ""present"", ""probabilityOfOccurrence"": ""probable"", ""numberOfReports"": null, ""lastReportTime"": null, ""events"": [{""code"": 701, ""description"": ""Obras"", ""iconCategory"": 9}]}"
tomtom,tomtom_cdmx_incidents,2026-08-15T03:08:33Z,2026-08-15,20260815T030829Z,2026-08-15T03:08:29.384513,TTI-2b48e4ea-67d4-4314-a748-f2915001794c-TTR24447472940022000,Feature,LineString,19.4217105632,-99.2991731221,8,Road closed,4,,170.259926229,Carretera La Venta-Lechería,Carretera La Venta-Lechería,,present,probable,,2024-08-30T14:38:00Z,,,Cerrado,401,"{""type"": ""LineString"", ""coordinates"": [[-99.2985414619, 19.4221102367], [-99.2985924239, 19.4220887353], [-99.2986259515, 19.4220659691], [-99.2986621613, 19.4220404362], [-99.2987238521, 19.4220002001], [-99.2987935895, 19.4219506362], [-99.2989236767, 19.4218634447], [-99.2990403528, 19.4217816286], [-99.2991731221, 19.4217105632], [-99.2992830927, 19.4216475607], [-99.2993716056, 19.4215965738], [-99.2994788939, 19.4215241645], [-99.2995244915, 19.4214839282], [-99.2996814007, 19.4213243271], [-99.2997417504, 19.4212693085], [-99.2997927124, 19.4212237759], [-99.2998222167, 19.4211862273]]}","{""id"": ""TTI-2b48e4ea-67d4-4314-a748-f2915001794c-TTR24447472940022000"", ""iconCategory"": 8, ""magnitudeOfDelay"": 4, ""startTime"": ""2024-08-30T14:38:00Z"", ""endTime"": null, ""from"": ""Carretera La Venta-Lechería"", ""to"": ""Carretera La Venta-Lechería"", ""length"": 170.259926229, ""delay"": null, ""roadNumbers"": [], ""timeValidity"": ""present"", ""probabilityOfOccurrence"": ""probable"", ""numberOfReports"": null, ""lastReportTime"": null, ""events"": [{""code"": 401, ""description"": ""Cerrado"", ""iconCategory"": 8}]}"
tomtom,tomtom_cdmx_incidents,2026-08-15T03:08:33Z,2026-08-15,20260815T030829Z,2026-08-15T03:08:29.384546,TTI-2b48e4ea-67d4-4314-a748-f2915001794c-TTL24453243288072000,Feature,LineString,19.3712729863,-99.2989196534,6,Jam,1,171.0,5980.9828177091,Autopista de la Venta-Chamapa-Lechería (Autopista Naucalpan Cuajimalpa/Autopista de la Venta-Chamapa-Lechería),Carretera Mexico Toluca/Carretera México Toluca (Autopista Naucalpan Cuajimalpa/Autopista de la Venta-Chamapa-Lechería),MEX-57D,present,certain,,2026-08-15T03:01:00Z,2026-08-15T03:23:30Z,,Tráfico lento,115,"{""type"": ""LineString"", ""coordinates"": [[-99.2971976752, 19.4004688242], [-99.2971641476, 19.400270305], [-99.2971333022, 19.4001254672], [-99.2969911451, 19.3994160607], [-99.2969214076, 19.3991129433], [-99.2968288714, 19.3986958989], [-99.2967054898, 19.3981540954], [-99.2965901548, 19.3976310276], [-99.2965740616, 19.3974915637], [-99.2965686972, 19.3974607298], [-99.2964842076, 19.397007392], [-99.2964345867, 19.3968022274], [-99.2963809425, 19.3964092909], [-99.29620794, 19.394846865], [-99.2961998934, 19.3947757878], [-99.2961677069, 19.3945156718], [-99.2961489314, 19.3943841905], [-99.2961395437, 19.3943332741], [-99.2961261327, 19.394248756], [-99.296079194, 19.3939295792], [-99.2959222848, 19.3927413376], [-99.2957492823, 19.3916564241], [-99.2957439179, 19.3916134923], [-99.2957211191, 19.3914499087], [-99.2956996614, 19.3912862458], [-99.295616513, 19.3906170446], [-99.2955803031, 19.390246943], [-99.2955119068, 19.3897546851], [-99.2954770381, 19.3894489405], [-99.2954716737, 19.3894086964], [-99.2954461927, 19.3890573304], [-99.2954354638, 19.3887019314], [-99.2954327816, 19.3885235595], [-99.295436805, 19.3883451875], [-99.2954461927, 19.3881668152], [-99.2954622859, 19.3879885218], [-99.2954824025, 19.3877832668], [-99.2955065424, 19.3876223675], [-99.2955494577, 19.3873594728], [-99.2956259007, 19.3869115624], [-99.2956929559, 19.386591027], [-99.2957157547, 19.3864784363], [-99.2958163375, 19.3860022966], [-99.2959584946, 19.3853116466], [-99.2960309142, 19.3849683367], [-99.2962602431, 19.3838753065], [-99.2962790186, 19.3837827971], [-99.296348756, 19.3834609114], [-99.2964453155, 19.383035762], [-99.2965110297, 19.3827394139], [-99.2965593094, 19.382573133], [-99.2965700383, 19.3825355755], [-99.2966116125, 19.3823920661], [-99.2966920788, 19.3821252095], [-99.2968476469, 19.3817027449], [-99.2969830984, 19.381348674], [-99.297105139, 19.3810523229], [-99.2971561009, 19.3809463701], [-99.2972151095, 19.3808256313], [-99.2972955758, 19.3806727902], [-99.2974498028, 19.3804005541], [-99.2977998311, 19.3797796199], [-99.2980358655, 19.3794215122], [-99.2982584888, 19.3790755015], [-99.2983402962, 19.3789481194], [-99.2986004705, 19.3784921207], [-99.2986728901, 19.3783472636], [-99.298747992, 19.3781984528], [-99.2989344055, 19.3777370752], [-99.299005484, 19.3774849181], [-99.2990483994, 19.3772797289], [-99.2990779037, 19.3770758836], [-99.299081927, 19.3768801034], [-99.299081927, 19.376704407], [-99.2990671749, 19.3764804768], [-99.2989893908, 19.3759506974], [-99.2989813442, 19.375898431], [-99.2988968546, 19.3754934252], [-99.2988861257, 19.3754572102], [-99.2988432104, 19.3753029408], [-99.2987774963, 19.375056236], [-99.2986956889, 19.3747223141], [-99.2986205871, 19.3743414224], [-99.298568284, 19.3740543891], [-99.2985588962, 19.3739404454], [-99.2985387797, 19.3737084461], [-99.2985280508, 19.3733570463], [-99.298530733, 19.3731800018], [-99.2985401208, 19.3730029572], [-99.2985495085, 19.3729023762], [-99.2985723073, 19.372651635], [-99.2985951061, 19.3724772783], [-99.2986018116, 19.3724397184], [-99.2986165637, 19.3723592217], [-99.2986594791, 19.3721299086], [-99.2987010533, 19.3719757151], [-99.2987466509, 19.3718295079], [-99.298761403, 19.3717570764], [-99.2988566214, 19.3714419673], [-99.2989196534, 19.3712729863], [-99.2989625687, 19.3711790464], [-99.2990470583, 19.3709967017], [-99.2990966792, 19.3708934309], [-99.29915837, 19.3707834387], [-99.2991932387, 19.3707190723], [-99.2992442006, 19.3706211784], [-99.2993099148, 19.3705084975], [-99.2993327135, 19.370469672], [-99.2993541712, 19.3704374887], [-99.2994453663, 19.3703020343], [-99.2995553369, 19.3701504485], [-99.2999429161, 19.3696287932], [-99.3003090376, 19.3692103291], [-99.3003975505, 19.3690923492], [-99.3004431481, 19.3690413458], [-99.3004981334, 19.3689756344], [-99.3005665297, 19.3688925265], [-99.3006939346, 19.3687395951], [-99.3009782488, 19.3684244802], [-99.3012397642, 19.3681455022], [-99.3014985973, 19.3678665236], [-99.3016394133, 19.3677177033], [-99.3017668182, 19.3675849351], [-99.3020618612, 19.3672604079], [-99.3022844846, 19.3670270548], [-99.3025446588, 19.3667426972], [-99.3028169031, 19.3664409423], [-99.3030059988, 19.3662411163], [-99.3031696135, 19.3660641433], [-99.3033412749, 19.3658776808], [-99.3034928197, 19.3656778542], [-99.3036966676, 19.3653573561], [-99.3037811572, 19.3651910574], [-99.3038468713, 19.3650783728], [-99.3040373082, 19.3646894718], [-99.3042344505, 19.3642589752], [-99.3042652959, 19.3641772092], [-99.3043578321, 19.3638419207], [-99.3043886775, 19.3636045297], [-99.3044007475, 19.3632973917], [-99.3043953831, 19.3630345368], [-99.3043645377, 19.362740841], [-99.3043202812, 19.3624820181], [-99.3042451794, 19.3620998326], [-99.304227745, 19.3620273968], [-99.3041647131, 19.3617578182], [-99.3040909523, 19.3613501676], [-99.3040104861, 19.3609156292], [-99.3039648885, 19.360639327], [-99.3039340431, 19.3604596591], [-99.3039005155, 19.3603014215], [-99.3038790578, 19.3601364621], [-99.3038576002, 19.360027807], [-99.3038549179, 19.3600197409], [-99.3038012738, 19.3597179736], [-99.3037610406, 19.3594980531], [-99.3037342185, 19.3593290598], [-99.3037154431, 19.3591721655], [-99.3036993498, 19.3588556877], [-99.3036913032, 19.3586156007], [-99.3036939854, 19.3583473608], [-99.3037073964, 19.3581073521], [-99.3037154431, 19.3580281927], [-99.3037261719, 19.3579316355], [-99.3037610406, 19.357768018], [-99.3037959093, 19.3575802808], [-99.3038361425, 19.3574059079], [-99.3038723523, 19.3572624555], [-99.3039246554, 19.3570948042], [-99.3040399904, 19.3567635343], [-99.3041445965, 19.3564698272], [-99.3042492027, 19.3562016628], [-99.3043833131, 19.3558663579], [-99.3044825549, 19.3556423991], [-99.3047092015, 19.3551006106], [-99.3047427291, 19.3550133833], [-99.3049251193, 19.3545480651], [-99.3050686175, 19.3542235119], [-99.3051249439, 19.3541041768], [-99.3051557893, 19.3540317374], [-99.305280512, 19.3537139053], [-99.3053837771, 19.3534429685], [-99.3054307157, 19.353320944], [-99.3055125231, 19.3531372348], [-99.3056144471, 19.3528984838], [-99.3058504815, 19.3523861842], [-99.3059014434, 19.3522668477], [-99.3060449416, 19.3518685053], [-99.3060476238, 19.3518617832], [-99.3061321134, 19.3515963001], [-99.3061334545, 19.3515909224], [-99.3062206263, 19.351306617], [-99.3063305969, 19.350841209], [-99.3063587601, 19.3507138049], [-99.3063949699, 19.3505113499], [-99.3064338619, 19.3503262141], [-99.3064942116, 19.3500110636], [-99.3065290803, 19.34980323], [-99.3065411503, 19.3497174234]]}","{""id"": ""TTI-2b48e4ea-67d4-4314-a748-f2915001794c-TTL24453243288072000"", ""iconCategory"": 6, ""magnitudeOfDelay"": 1, ""startTime"": ""2026-08-15T03:01:00Z"", ""endTime"": ""2026-08-15T03:23:30Z"", ""from"": ""Autopista de la Venta-Chamapa-Lechería (Autopista Naucalpan Cuajimalpa/Autopista de la Venta-Chamapa-Lechería)"", ""to"": ""Carretera Mexico Toluca/Carretera México Toluca (Autopista Naucalpan Cuajimalpa/Autopista de la Venta-Chamapa-Lechería)"", ""length"": 5980.9828177091, ""delay"": 171, ""roadNumbers"": [""MEX-57D""], ""timeValidity"": ""present"", ""probabilityOfOccurrence"": ""certain"", ""numberOfReports"": null, ""lastReportTime"": null, ""events"": [{""code"": 115, ""description"": ""Tráfico lento"", ""iconCategory"": 6}]}"
tomtom,tomtom_cdmx_incidents,2026-08-15T03:08:33Z,2026-08-15,20260815T030829Z,2026-08-15T03:08:29.384732,TTI-2b48e4ea-67d4-4314-a748-f2915001794c-TTL24447473300007000,Feature,LineString,19.4480444655,-99.2899878973,6,Jam,3,261.0,257.4719548274,Calle Canario,Calle de Lerdo de Tejada,,present,certain,,2026-08-15T02:58:30Z,2026-08-15T03:31:30Z,,Tráfico parado,101,"{""type"": ""LineString"", ""coordinates"": [[-99.2910728509, 19.447104401], [-99.2908931429, 19.4473162994], [-99.2907858545, 19.4474343015], [-99.2906477208, 19.447561709], [-99.2905806655, 19.4476220141], [-99.2904371673, 19.4477347206], [-99.2903620655, 19.4477936821], [-99.2902748937, 19.4478648151], [-99.2902118618, 19.4479103403], [-99.2901515121, 19.447961319], [-99.2900925035, 19.4480096104], [-99.2899878973, 19.4480444655], [-99.2898886556, 19.4480793207], [-99.2897974605, 19.4481129112], [-99.2897183353, 19.4481464227], [-99.289636528, 19.4481812779], [-99.2895627672, 19.4482188202], [-99.2894206101, 19.4482925613], [-99.289316004, 19.4483421963], [-99.2892181033, 19.448378395], [-99.2891631181, 19.4483972056], [-99.2891067917, 19.4484186245]]}","{""id"": ""TTI-2b48e4ea-67d4-4314-a748-f2915001794c-TTL24447473300007000"", ""iconCategory"": 6, ""magnitudeOfDelay"": 3, ""startTime"": ""2026-08-15T02:58:30Z"", ""endTime"": ""2026-08-15T03:31:30Z"", ""from"": ""Calle Canario"", ""to"": ""Calle de Lerdo de Tejada"", ""length"": 257.4719548274, ""delay"": 261, ""roadNumbers"": [], ""timeValidity"": ""present"", ""probabilityOfOccurrence"": ""certain"", ""numberOfReports"": null, ""lastReportTime"": null, ""events"": [{""code"": 101, ""description"": ""Tráfico parado"", ""iconCategory"": 6}]}"
tomtom,tomtom_cdmx_incidents,2026-08-15T03:08:33Z,2026-08-15,20260815T030829Z,2026-08-15T03:08:29.384767,TTI-2b48e4ea-67d4-4314-a748-f2915001794c-TTL24447473372015000,Feature,LineString,19.4481129112,-99.2897974605,6,Jam,3,138.0,226.2136276438,Calle de Lerdo de Tejada,Calle Tezontle,,present,certain,,2026-08-15T03:05:00Z,2026-08-15T03:26:30Z,,Tráfico parado,101,"{""type"": ""LineString"", ""coordinates"": [[-99.2887849266, 19.4485407358], [-99.2888788039, 19.4484951318], [-99.2890008444, 19.4484508714], [-99.289098745, 19.4484213118], [-99.2891631181, 19.4483972056], [-99.2892181033, 19.448378395], [-99.289316004, 19.4483421963], [-99.2894206101, 19.4482925613], [-99.2895627672, 19.4482188202], [-99.289636528, 19.4481812779], [-99.2897183353, 19.4481464227], [-99.2897974605, 19.4481129112], [-99.2898886556, 19.4480793207], [-99.2899878973, 19.4480444655], [-99.2900925035, 19.4480096104], [-99.2901515121, 19.447961319], [-99.2902118618, 19.4479103403], [-99.2902748937, 19.4478648151], [-99.2903620655, 19.4477936821], [-99.2904371673, 19.4477347206], [-99.2905806655, 19.4476220141], [-99.2906477208, 19.447561709]]}","{""id"": ""TTI-2b48e4ea-67d4-4314-a748-f2915001794c-TTL24447473372015000"", ""iconCategory"": 6, ""magnitudeOfDelay"": 3, ""startTime"": ""2026-08-15T03:05:00Z"", ""endTime"": ""2026-08-15T03:26:30Z"", ""from"": ""Calle de Lerdo de Tejada"", ""to"": ""Calle Tezontle"", ""length"": 226.2136276438, ""delay"": 138, ""roadNumbers"": [], ""timeValidity"": ""present"", ""probabilityOfOccurrence"": ""certain"", ""numberOfReports"": null, ""lastReportTime"": null, ""events"": [{""code"": 101, ""description"": ""Tráfico parado"", ""iconCategory"": 6}]}"
tomtom,tomtom_cdmx_incidents,2026-08-15T03:08:33Z,2026-08-15,20260815T030829Z,2026-08-15T03:08:29.384800,TTI-2b48e4ea-67d4-4314-a748-f2915001794c-TTL24459013936013000,Feature,LineString,19.3646372018,-99.2873486037,6,Jam,2,243.0,301.518049026,Calle Alcanfores,Avenida José María Castorena,,present,certain,,2026-08-15T02:57:00Z,2026-08-15T03:28:30Z,,Tráfico en cola,108,"{""type"": ""LineString"", ""coordinates"": [[-99.2874907607, 19.3656376041], [-99.2873928601, 19.3654660076], [-99.2873432392, 19.3653600447], [-99.2873325104, 19.365334582], [-99.2873043472, 19.3652165202], [-99.2873056883, 19.365132066], [-99.2873244638, 19.3648638368], [-99.287340557, 19.3647484634], [-99.2873486037, 19.3646372018], [-99.2873459215, 19.3643609059], [-99.2873325104, 19.3642294794], [-99.2872466797, 19.3638579734], [-99.2872279043, 19.3637587311], [-99.2871554846, 19.3635723451], [-99.2870347852, 19.3630667215], [-99.2870173509, 19.3630036964]]}","{""id"": ""TTI-2b48e4ea-67d4-4314-a748-f2915001794c-TTL24459013936013000"", ""iconCategory"": 6, ""magnitudeOfDelay"": 2, ""startTime"": ""2026-08-15T02:57:00Z"", ""endTime"": ""2026-08-15T03:28:30Z"", ""from"": ""Calle Alcanfores"", ""to"": ""Avenida José María Castorena"", ""length"": 301.518049026, ""delay"": 243, ""roadNumbers"": [], ""timeValidity"": ""present"", ""probabilityOfOccurrence"": ""certain"", ""numberOfReports"": null, ""lastReportTime"": null, ""events"": [{""code"": 108, ""description"": ""Tráfico en cola"", ""iconCategory"": 6}]}"
tomtom,tomtom_cdmx_incidents,2026-08-15T03:08:33Z,2026-08-15,20260815T030829Z,2026-08-15T03:08:29.384840,TTI-2b48e4ea-67d4-4314-a748-f2915001794c-TTL24461899292012004,Feature,LineString,19.362889745,-99.287250703,6,Jam,3,300.0,252.4941697212,Prolongación José María Castoreña,Calle Ninguno,,present,certain,,2026-08-15T02:56:30Z,2026-08-15T03:31:30Z,,Tráfico parado,101,"{""type"": ""LineString"", ""coordinates"": [[-99.2861442918, 19.3635656234], [-99.286416536, 19.363428819], [-99.2866257483, 19.3633189008], [-99.2866659815, 19.3632906701], [-99.2869114036, 19.3631378125], [-99.2870347852, 19.3630667215], [-99.2871393914, 19.3629889879], [-99.287250703, 19.362889745], [-99.2872909362, 19.3628548715], [-99.2874156589, 19.3627542842], [-99.2875229472, 19.3626670611], [-99.2877080197, 19.3625383218], [-99.2879681939, 19.3623586561], [-99.2880500013, 19.3623130279], [-99.2881157154, 19.36227681]]}","{""id"": ""TTI-2b48e4ea-67d4-4314-a748-f2915001794c-TTL24461899292012004"", ""iconCategory"": 6, ""magnitudeOfDelay"": 3, ""startTime"": ""2026-08-15T02:56:30Z"", ""endTime"": ""2026-08-15T03:31:30Z"", ""from"": ""Prolongación José María Castoreña"", ""to"": ""Calle Ninguno"", ""length"": 252.4941697212, ""delay"": 300, ""roadNumbers"": [], ""timeValidity"": ""present"", ""probabilityOfOccurrence"": ""certain"", ""numberOfReports"": null, ""lastReportTime"": null, ""events"": [{""code"": 101, ""description"": ""Tráfico parado"", ""iconCategory"": 6}]}"
tomtom,tomtom_cdmx_incidents,2026-08-15T03:08:33Z,2026-08-15,20260815T030829Z,2026-08-15T03:08:29.384868,TTI-2b48e4ea-67d4-4314-a748-f2915001794c-TTL24459013868013000,Feature,LineString,19.365132066,-99.2873056883,6,Jam,2,311.0,669.8616334148,Carretera México-Toluca,Calle Monte Naranjo,,present,certain,,2026-08-15T02:55:00Z,2026-08-15T03:30:30Z,,Tráfico en cola,108,"{""type"": ""LineString"", ""coordinates"": [[-99.2860477323, 19.3626389093], [-99.2860758955, 19.3626523526], [-99.2861147875, 19.3626697497], [-99.2861684317, 19.36267916], [-99.2864970023, 19.3626697497], [-99.2867585177, 19.3626724384], [-99.2868027741, 19.3626751271], [-99.2868470306, 19.3626845374], [-99.2868818993, 19.3626992459], [-99.2869087214, 19.3627234438], [-99.2869221324, 19.362736808], [-99.2869435901, 19.3627610059], [-99.2869690711, 19.3628159651], [-99.2869972343, 19.362927307], [-99.2870079631, 19.36296479], [-99.2870173509, 19.363002352], [-99.2870347852, 19.3630667215], [-99.2871554846, 19.3635723451], [-99.2872279043, 19.3637587311], [-99.2872466797, 19.3638579734], [-99.2873325104, 19.3642294794], [-99.2873459215, 19.3643609059], [-99.2873486037, 19.3646372018], [-99.287340557, 19.3647484634], [-99.2873244638, 19.3648638368], [-99.2873056883, 19.365132066], [-99.2873043472, 19.3652165202], [-99.2873325104, 19.365334582], [-99.2873432392, 19.3653600447], [-99.2873928601, 19.3654660076], [-99.2874961252, 19.36564567], [-99.287571227, 19.3657570099], [-99.2876597399, 19.3658870909], [-99.2877200896, 19.3659393605], [-99.2881371731, 19.3662411163], [-99.2882082517, 19.3663001073], [-99.2882136161, 19.36633498], [-99.2881934995, 19.3664101025], [-99.2881586308, 19.3664758149], [-99.2881237621, 19.3665374944], [-99.2880862111, 19.3666126168], [-99.2880687768, 19.366650178], [-99.2880419547, 19.366705136], [-99.2880231792, 19.3667440415], [-99.288007086, 19.3667762255], [-99.2880111093, 19.3668231967], [-99.2880164737, 19.3668700888], [-99.2881049866, 19.3670565501], [-99.2881787474, 19.3672107483], [-99.2882310504, 19.3673180543], [-99.2882793302, 19.367419983]]}","{""id"": ""TTI-2b48e4ea-67d4-4314-a748-f2915001794c-TTL24459013868013000"", ""iconCategory"": 6, ""magnitudeOfDelay"": 2, ""startTime"": ""2026-08-15T02:55:00Z"", ""endTime"": ""2026-08-15T03:30:30Z"", ""from"": ""Carretera México-Toluca"", ""to"": ""Calle Monte Naranjo"", ""length"": 669.8616334148, ""delay"": 311, ""roadNumbers"": [], ""timeValidity"": ""present"", ""probabilityOfOccurrence"": ""certain"", ""numberOfReports"": null, ""lastReportTime"": null, ""events"": [{""code"": 108, ""description"": ""Tráfico en cola"", ""iconCategory"": 6}]}"
